iter	Passed	Remaining
0	2	227
1	4	204
2	5	180
3	6	165
4	8	158
5	9	150
6	10	144
7	12	142
8	13	136
9	14	133
10	15	128
11	16	123
12	17	117
13	18	113
14	19	109
15	20	108
16	21	104
17	22	101
18	23	98
19	23	95
20	24	93
21	25	90
22	26	88
23	27	87
24	28	85
25	29	82
26	30	81
27	30	79
28	32	78
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	37	69
35	38	68
36	39	66
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	87	0
