iter	Passed	Remaining
0	2	219
1	4	217
2	6	211
3	8	196
4	10	200
5	12	198
6	14	196
7	17	200
8	19	198
9	21	194
10	23	193
11	26	192
12	28	190
13	30	187
14	32	185
15	34	183
16	37	182
17	39	179
18	41	178
19	44	176
20	46	174
21	48	172
22	50	170
23	53	168
24	55	166
25	57	164
26	60	163
27	62	160
28	64	157
29	66	154
30	68	152
31	70	149
32	71	146
33	74	143
34	76	141
35	78	139
36	80	136
37	81	133
38	83	130
39	85	127
40	86	124
41	87	120
42	89	118
43	90	115
44	92	113
45	94	110
46	96	108
47	97	105
48	99	103
49	100	100
50	102	98
51	103	95
52	105	93
53	107	91
54	108	88
55	110	86
56	111	84
57	113	82
58	115	80
59	116	77
60	118	75
61	120	73
62	122	71
63	124	69
64	125	67
65	127	65
66	129	63
67	131	61
68	132	59
69	134	57
70	136	55
71	138	53
72	140	51
73	141	49
74	143	47
75	144	45
76	146	43
77	147	41
78	149	39
79	151	37
80	153	35
81	155	34
82	157	32
83	158	30
84	160	28
85	162	26
86	163	24
87	165	22
88	167	20
89	168	18
90	170	16
91	171	14
92	173	13
93	175	11
94	177	9
95	178	7
96	180	5
97	181	3
98	183	1
99	185	0
